title,data_used,models_used,tools_used,keywords,participants,participants_count,biological_data,physiological_data,methodology,transparency,accuracy,purposivity,utility,propriety,accessibility,specificity,score_tapupas,population,intervention,comparison,outcome,score_pico,casp_clear_aim,casp_methodology,casp_recruitment,casp_ethics,casp_analysis,casp_results_stated,casp_value,casp_clear_aim_score,casp_clear_aim_pass,casp_methodology_score,casp_methodology_pass,casp_recruitment_score,casp_recruitment_pass,casp_ethics_score,casp_ethics_pass,casp_analysis_score,casp_analysis_pass,casp_results_stated_score,casp_results_stated_pass,casp_value_score,casp_value_pass,score_casp,kitch_research_question,kitch_study_context,kitch_data_collection,kitch_data_analysis,kitch_validity,kitch_replication,kitch_contribution,kitch_research_question_score,kitch_research_question_pass,kitch_search_strategy_score,kitch_search_strategy_pass,kitch_inclusion_criteria_score,kitch_inclusion_criteria_pass,kitch_data_extraction_score,kitch_data_extraction_pass,kitch_quality_assessment_score,kitch_quality_assessment_pass,kitch_data_synthesis_score,kitch_data_synthesis_pass,kitch_limitations_score,kitch_limitations_pass,score_kitchenham,score_prisma,prisma_objective_pass,prisma_eligibility_criteria_pass,prisma_information_sources_pass,prisma_search_strategy_pass,prisma_selection_process_pass,prisma_data_collection_pass,prisma_risk_of_bias_pass,prisma_synthesis_pass,prisma_limitations_pass,prisma_registration_pass,title_source,authors,abstract,abstract_length,doi,year,journal,keywords,target_education_level,countries,source_file
Risks of AI-Assisted Learning on Student Critical Thinking: A Case Study of Albania,,chatgpt; deep learning; gan; gat; gpt; ppo,aws; excel; numbers; processing; r; unity,Technology Risk; Ethics; Cognitive Development; Pedagogical Implications; Educational Technology; Cognitive Load; Decision-making; Learning Outcomes; Ethical Considerations,learners; participants; respondents; students; subjects; teachers,53,rna,erp; imu,qualitative,1,1,2,1,1,0,3,,students,a focused examination of ai-as,compromising their foundationa,,,True,True,False,False,False,True,True,0.94,,0.763,,0.724,,0.73,,0.563,,0.876,,0.924,,,False,True,True,False,False,False,False,0.84,True,0.789,True,0.871,True,0.768,True,0.883,True,0.785,True,0.85,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,Eriona Çela; Mathias Fonkam; Rajasekhara Mouly Potluri,"
 Artificial Intelligence (AI) has increasingly become a transformative force in the education sector, offering unprecedented opportunities to enhance learning experiences and outcomes. This study examines the potential adverse effects of AI-assisted learning on critical cognitive skills, particularly critical thinking and problem-solving, within the context of Albania's educational landscape. Employing a quantitative methodology, a survey of 53 students was conducted across a private educational institution in Albania to gather data on their experiences and perceptions regarding AI-assisted learning. The findings indicate no significant difference in critical thinking skills between students with prior exposure to AI tools and those without. However, there is a statistically significant negative correlation between reliance on AI tools for assignments and students' problem-solving skills, suggesting that excessive dependence on AI can hinder the development of independent problemsolving abilities. Conversely, a strong positive correlation was found between the frequency of AI tool usage and students' perceptions of academic performance and assignment efficiency, highlighting the potential benefits of AI in enhancing these aspects of the educational experience. These results emphasize the need for a balanced integration of AI tools in education to ensure they complement rather than replace traditional learning methods. The study's findings have significant implications for educators and policymakers, suggesting that while AI can enhance certain educational outcomes, it is essential to address its potential risks to promote the development of essential cognitive skills. Future research should focus on larger, more diverse samples, incorporate objective measures of cognitive skills, and explore the long-term impacts of AI-assisted learning. 
",250,10.4018/IJRCM.350185,,,Technology Risk; Ethics; Cognitive Development; Pedagogical Implications; Educational Technology; Cognitive Load; Decision-making; Learning Outcomes; Ethical Considerations,college; graduate; graduate students; high school; higher education; undergrad; undergraduate; university,albania; india; iran; italy; kazakhstan; niger; nigeria; uk,2024_-_Risks_of_AI-Assisted_Learning_on_Student_Critical_Thinking-.pdf
Generative AI and Its Impact on Personalized Intelligent Tutoring Systems,dataset; eda; training data,chatgpt; gat; gpt; gpt-4; language model; large language model; llm; ppo,processing; r,,learners; students; subjects,,,affective computing; eda; emotional state; erp; imu,unknown,0,0,0,0,1,0,0,,learners,complex problem-solving proces,sufficient human oversight can,,,True,True,False,False,False,True,True,0.936,,0.769,,0.738,,0.732,,0.578,,0.852,,0.905,,,False,False,False,False,False,False,False,0.855,True,0.82,True,0.867,True,0.797,True,0.876,True,0.796,True,0.837,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,Subhankar Maity; Aniket Deroy,"
 Generative Artificial Intelligence (AI) is revolutionizing educational technology by enabling highly personalized and adaptive learning environments within Intelligent Tutoring Systems (ITS). This report delves into the integration of Generative AI, particularly large language models (LLMs) like GPT-4, into ITS to enhance personalized education through dynamic content generation, real-time feedback, and adaptive learning pathways. We explore key applications such as automated question generation, customized feedback mechanisms, and interactive dialogue systems that respond to individual learner needs. The report also addresses significant challenges, including ensuring pedagogical accuracy, mitigating inherent biases in AI models, and maintaining learner engagement. Future directions highlight the potential advancements in multimodal AI integration, emotional intelligence in tutoring systems, and the ethical implications of AI-driven education. By synthesizing current research and practical implementations, this report underscores the transformative potential of Generative AI in creating more effective, equitable, and engaging educational experiences. 
",142,10.5281/zenodo.12730013,2024,,,,,2024_-_Generative_AI_and_Its_Impact_on_Personalized_Intelligent_Tutoring_Systems.pdf
Generative AI in Education: Perspectives Through an Academic Lens,data collection; dataset; eda,chatgpt; gan; gat; gpt; gpt-3; gpt-3.5; gpt-4; language model; large language model; llm; ppo; transformer; transformer model,cohere; excel; gensim; github; nltk; pandas; processing; python; r; textblob; unity,"Întorsureanu, I.; Oprea, S.-V.; Bâra, A.; Vespan, D. Generative education; gen-AI; large language models; bibliometrics; technologyenhanced learning",learners; students; subjects; teachers,,rna,cognitive load; eda; erp; imu,qualitative,1,0,0,0,0,0,1,,teachers,better conversational abilitie,any vendor-related limitations,,,True,False,False,False,False,True,True,0.931,,0.743,,0.704,,0.725,,0.576,,0.88,,0.92,,,True,False,False,True,False,False,True,0.834,True,0.754,True,0.856,True,0.753,True,0.876,True,0.768,True,0.837,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,Marko Horvat; Tomislav Jagušt; Iulian Întorsureanu; Simona-Vasilica Oprea; Adela Bâra; Dragos; Vespan,"
 In this paper, we investigated the role of generative AI in education in academic publications extracted from Web of Science (3506 records; 2019-2024). The proposed methodology included three main streams: (1) Monthly analysis trends; top-ranking research areas, keywords and universities; frequency of keywords over time; a keyword co-occurrence map; collaboration networks; and a Sankey diagram illustrating the relationship between AI-related terms, publication years and research areas; (2) Sentiment analysis using a custom list of words, VADER and TextBlob; (3) Topic modeling using Latent Dirichlet Allocation (LDA). Terms such as ""artificial intelligence"" and ""generative artificial intelligence"" were predominant, but they diverged and evolved over time. By 2024, AI applications had branched into specialized fields, including education and educational research, computer science, engineering, psychology, medical informatics, healthcare sciences, general medicine and surgery. The sentiment analysis reveals a growing optimism in academic publications regarding generative AI in education, with a steady increase in positive sentiment from 2023 to 2024, while maintaining a predominantly neutral tone. Five main topics were derived from AI applications in education, based on an analysis of the most relevant terms extracted by LDA: (1) Gen-AI's impact in education and research; (2) ChatGPT as a tool for university students and teachers; (3) Large language models (LLMs) and prompting in computing education; (4) Applications of ChatGPT in patient education; (5) ChatGPT's performance in medical examinations. The research identified several emerging topics: discipline-specific application of LLMs, multimodal gen-AI, personalized learning, AI as a peer or tutor and cross-cultural and multilingual tools aimed at developing culturally relevant educational content and supporting the teaching of lesser-known languages. Further, gamification with generative AI involves designing interactive storytelling and adaptive educational games to enhance engagement and hybrid human-AI classrooms explore co-teaching dynamics, teacher-student relationships and the impact on classroom authority. 
",294,10.3390/electronics14051053,2025,,"Întorsureanu, I.; Oprea, S.-V.; Bâra, A.; Vespan, D. Generative education; gen-AI; large language models; bibliometrics; technologyenhanced learning",college; higher education; k-12; university,australia; china; indonesia; singapore; united states,2025_-__Generative_AI_in_Education-_Perspectives_Through_an_Academic_Lens_.pdf
Artificial intelligence in education: A systematic literature review,data collection; dataset; eda,chatgpt; decision tree; deep learning; gat; gpt; gpt-4; machine learning model; naive bayes; neural net; neural network; ppo; reinforcement learning; support vector machine,aws; cohere; excel; numbers; processing; r,,learners; students; subjects; teachers,24,rna,cognitive load; eda; emotional state; erp; imu,qualitative,2,2,0,1,0,0,3,,subjects,information systems,keywords plus,concentration,,True,True,False,False,False,True,True,0.927,,0.79,,0.71,,0.712,,0.608,,0.883,,0.919,,,True,False,True,False,False,False,False,0.847,True,0.792,True,0.863,True,0.782,True,0.879,True,0.796,True,0.848,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,Shan Wang; Fang Wang; Zhen Zhu; Jingxuan Wang; Tam Tran; Zhao Du,"
 Artificial intelligence (AI) in education (AIED) has evolved into a substantial body of literature with diverse perspectives. In this review paper, we seek insights into three critical questions: (1) What are the primary categories of AI applications explored in the education field? (2) What are the predominant research topics and their key findings? (3) What is the status of major research design elements, including guiding theories, methodologies, and research contexts? A bibliometric analysis of 2,223 research articles followed by a content analysis of selected 125 papers reveals a comprehensive conceptual structure of the existing literature. The extant AIED research spans a wide spectrum of applications, encompassing those for adaptive learning and personalized tutoring, intelligent assessment and management, profiling and prediction, and emerging products. Research topics delve into both the technical design of education systems and the examination of the adoption, impacts, and challenges associated with AIED. Furthermore, this review highlights the diverse range of theories applied in the AIED literature, the multidisciplinary nature of publication venues, and underexplored research areas. In sum, this research offers valuable insights for interested scholars to comprehend the current state of AIED research and identify future research opportunities in this dynamic field. 
",197,10.1016/j.eswa.2024.124167,2024,,,college; distance education; higher education; k-12; k12; lifelong learning; online learning; preschool,china; mali,2024_-_Artificial_intelligence_in_education-_A_systematic_literature_review.pdf
"Varghese NN, Jose B, Bindhumol T, Cleetus A and Nair SB ( ) The power duo: unleashing cognitive potential through human-AI synergy in STEM and non-STEM education",eda,gat; ppo,excel; processing; r,STEM and non-STEM education; AI integration in education; critical thinking; human-AI collaboration; algorithmic transparency,learners; students; subjects; teachers,,rna,eda; erp; imu,quantitative,1,1,0,1,0,0,0,,learners,personalized tutoring,interpretative,and applied properly,,True,True,False,False,False,True,True,0.914,,0.767,,0.715,,0.698,,0.554,,0.853,,0.889,,,False,False,False,False,False,False,False,0.831,True,0.792,True,0.847,True,0.753,True,0.841,True,0.773,True,0.883,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,Stefano Triberti; Ozden Sengul; Binny Jose; Nidhu Neena Varghese; T Bindhumol; Anu Cleetus; S Brinda Nair,"
 Bridging intelligence: a literature review on AI-human synergy in education 
 Theoretical perspectives on AI in education Learning theories offer a framework for understanding AI's application in education. In the context of Bloom's Taxonomy, AI can support lower-order thinking skills (knowledge, comprehension, application) in STEM education but lags in supporting higher-order skills Frontiers in Education frontiersin.org 
",55,10.1051/e3sconf/202345106011,,,STEM and non-STEM education; AI integration in education; critical thinking; human-AI collaboration; algorithmic transparency,,china; georgia; uk,2025_-__The_Role_of_Artificial_Intelligence_in_Computer_Science_Education-_A_Systematic_Review_with_a_Focus_on_Database.pdf
The Role of AI-Assisted Learning in Academic Writing: A Mixed-Methods Study on Chinese as a Second Language Students,data collection; eda; test data,chatgpt; gan; gat; gpt; llm; ppo,aws; cohere; excel; r,academic writing; Chinese as a second language; AI-assisted learning; mixedmethods study,learners; participants; students; teachers,6,rna,eda; erp,qualitative,4,1,0,0,0,0,2,,students,the increasingly widespread av,their counterparts in a tradit,each writing sample at the pre,,True,False,False,False,False,True,True,0.922,,0.749,,0.704,,0.7,,0.578,,0.866,,0.903,,,True,True,True,True,False,False,False,0.838,True,0.779,True,0.846,True,0.757,True,0.859,True,0.774,True,0.857,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,Chen Chen; Frank Gong,"
 The Role of AI-Assisted Learning in Academic Writing: A Mixed-Methods Study on Chinese as a Second Language Students. Education Sciences, 15(2), 141. 
",22,10.3390/educsci15020141,2025,,academic writing; Chinese as a second language; AI-assisted learning; mixedmethods study,college; graduate; higher education; undergrad; undergraduate; university,china; colombia; egypt; indonesia; italy; kazakhstan; mali; niger; nigeria; thailand; vietnam,2025_-__The_Role_of_AI-Assisted_Learning_in_Academic_Writing-_A_Mixed-Methods_Study_on_Chinese_as_a_Second_Language_Students_.pdf
"AI and peer reviews in higher education: students' multimodal views on benefits, differences and limitations",data collection; eda; facial expression,chatgpt; gan; gat; gpt; gpt-3; language model; large language model; llm; ppo,cohere; excel; processing; r; unity,Generative AI; AI feedback; peer reviews; higher education,learners; participants; students; teachers,15,rna,eda; erp; imu,qualitative,3,1,1,0,0,0,2,,teachers,the potential for scalability,peer feedback,and the overall objective to b,,True,False,False,False,False,True,True,0.934,,0.733,,0.717,,0.705,,0.546,,0.87,,0.911,,,True,False,True,False,False,False,False,0.841,True,0.768,True,0.856,True,0.752,True,0.866,True,0.758,True,0.869,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,Gabriela C Zapata; Bill Cope; Mary Kalantzis; Anastasia Olga; Olnancy Tzirides; Akash Kumar Saini; Duane Searsmith; Jennifer Whiting; Nikoleta Polyxeni Kastania; Vania Castro; Theodora Kourkoulou; John W Jones; Rodrigo Abrantes Da Silva; Nikoleta Polyxeni Kastania,"
 Since the launch of ChatGPT in November 2022, educational researchers and practitioners have sought to understand the ways in which these new generative AI technologies might influence education. This article describes one such effort. The focus of the investigation was chatbots responding from large language models to the review of open-ended student work. Specifically, the authors examined university students' multimodal views of the benefits and limitations of AI reviews as compared to human feedback. The participants were postgraduate students in a public American university. The students' opinions of their experiences with both types of reviews were expressed linguistically, visually and gesturally, and they were submitted to discursive and socio-semiotic analyses. The results revealed a preference for human reviews. Nevertheless, the participants also identified several benefits for AI feedback, as well as ways in which it had complemented human reviews, overwhelmingly welcoming its addition as part of their educational experience. 
",149,10.1080/1475939X.2025.2480807,,,Generative AI; AI feedback; peer reviews; higher education,college; graduate; graduate students; high school; higher education; online learning; postgraduate; university,japan; united states,2025_-_AI_and_Peer_Reviews_in_Higher_Education-_Students'_Multimodal_Views.pdf
"Date of publication xxxx 00, 0000, date of current version xxxx 00, 0000",data collection; data sample; data set; dataset; ecg; eda; eeg; electrodermal activity; emg; emotion detection; eye movement; eye tracking; eye-tracking; facial expression; gaze data; heart rate; motion sensor; physiological data; raw data; saccade; sensor data; skin conductance,alexnet; autoencoder; cnn; convolutional neural network; deep learning; deep learning model; denoising autoencoder; gat; gru; lstm; machine learning model; mobilenet; neural net; neural network; ppo; recurrent neural network; reinforcement learning; resnet; rnn; svm; transformer; transformer model; transformers,notion; processing; r,,learners; participants; students,3,rna,affective computing; cognitive load; ecg; eda; eeg; electrodermal activity; emg; emotional arousal; emotional state; erp; eye movement; fixation; focus level; gsr; heart rate; imu; physiological data; saccade; sensor data; skin conductance; skin temperature,quantitative,2,1,1,0,1,1,1,,students,the text,examining the emotional dimens,reading engagement and compreh,,True,True,False,False,False,True,True,0.941,,0.763,,0.722,,0.735,,0.572,,0.884,,0.927,,,True,True,True,True,False,False,False,0.849,True,0.792,True,0.871,True,0.789,True,0.882,True,0.798,True,0.842,True,,0.8,True,True,False,True,True,True,True,False,True,True,analytic,Jayasankar Santhosh; Akshay Palimar Pai,"
 Engagement and emotion are critical components that significantly influence a reader's experience during a reading task. The level of engagement reflects the extent to which a reader is immersed and attentive to the content, while emotion represents the affective responses evoked by the text. The present study aims to detect the engagement and emotion levels during a reading task by leveraging the power of state-of-the-art deep learning models and investigating the correlations between the engagement levels and emotions. An experiment was conducted involving 18 university students reading 14 documents followed by a questionnaire to rate their levels of engagement, valence, and arousal after reading each document. A Tobii 4C eye-tracker with a pro license along with an Empatica E4 wristband were utilized to record the data from the participants. A range of deep learning models were utilized for computing the engagement, valence, and arousal values, employing both user-independent and user-dependent methods. Notably, the Transformer model exhibited better performance in terms of accuracy and F1-score in the context of userindependent approaches, while the Resnet model excelled when adopting the user-dependent approach. The recorded data was also utilized to establish the relationship between engagement levels and emotional states concerning the specific document being read. The prediction results were utilized to develop an interactive and user-friendly application designed to provide a visual representation of a reader's engagement level and emotional state while performing a reading task. The dashboard features an engagement gauge that displays the reader's level of engagement based on predicted class probabilities, and an emotion emoji serving as a visual cue that illustrates the predicted emotional state of the reader. 
",269,10.1109/ACCESS.2024.3350745,,,,master's degree; university,,2023_-_Toward_an_Interactive_Reading_Experience_Deep_Lear.pdf
The cognitive paradox of AI in education: between enhancement and erosion,dataset; eda,bert; chatgpt; deep learning; gpt; gpt-3; ppo,r; unity,artificial intelligence in education; Cognitive Load Theory; AI and critical thinking; self-determination theory; AI-driven learning strategies,learners; participants; respondents; students; teachers,,rna,cognitive load; eda; erp; fixation; imu,quantitative,0,0,0,0,0,0,0,,learners,unparalleled levels of persona,jeopardizing fundamental cogni,retention and engagement,,True,False,False,False,False,True,True,0.924,,0.748,,0.71,,0.691,,0.532,,0.852,,0.893,,,False,False,False,False,False,False,False,0.825,True,0.787,True,0.838,True,0.746,False,0.849,True,0.768,True,0.875,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,Luwei Xiao; Catalin Vrabie; Binny Jose; Jaya Cherian; Alie Molly Verghis; Mary Sony; Sibichan Varghise; Joseph,,0,10.48550/arXiv.2412.13487,,,artificial intelligence in education; Cognitive Load Theory; AI and critical thinking; self-determination theory; AI-driven learning strategies,graduate; graduate students; high school; undergrad; undergraduate; undergraduate students; university,niger; nigeria; united states,2025_-_The_cognitive_paradox_of_AI_in_education-_between_enhancement_and_erosion.pdf
A Deep Learning-Based Approach to Video-Based Eye Tracking for Human Psychophysics,dataset; eye tracking; eye-tracking; gaze position; raw data; test data; validation data,convolutional neural network; deep learning; neural net; neural network; ppo,github; processing; pytorch; r; torch,deep learning; eye tracking; gaze tracking; artificial intelligence; DeepLabCut; human psychophysics,subjects,200,rna,erp; imu,quantitative,0,0,1,0,1,0,0,,subjects,more than a single infrared so,other approaches that are appr,by extracting a set of,,True,False,False,False,False,True,True,0.935,,0.708,,0.693,,0.718,,0.529,,0.873,,0.915,,,False,False,False,False,False,False,True,0.823,True,0.747,False,0.838,True,0.761,True,0.877,True,0.761,True,0.815,True,,0.7,True,True,False,True,False,True,True,False,True,True,analytic,Niklas Zdarsky; Stefan Treue; Moein Esghaei,"
 Real-time gaze tracking provides crucial input to psychophysics studies and neuromarketing applications. Many of the modern eye-tracking solutions are expensive mainly due to the high-end processing hardware specialized for processing infraredcamera pictures. Here, we introduce a deep learning-based approach which uses the video frames of low-cost web cameras. Using DeepLabCut (DLC), an open-source toolbox for extracting points of interest from videos, we obtained facial landmarks critical to gaze location and estimated the point of gaze on a computer screen via a shallow neural network. Tested for three extreme poses, this architecture reached a median error of about one degree of visual angle. Our results contribute to the growing field of deeplearning approaches to eye-tracking, laying the foundation for further investigation by researchers in psychophysics or neuromarketing. 
",126,10.3389/fnhum.2021.685830,2021,,deep learning; eye tracking; gaze tracking; artificial intelligence; DeepLabCut; human psychophysics,university,canada; germany; sweden; switzerland; united states,2021_A_Deep_Learning-Based_Approach_to_Video-Based_Eye_Tracking_for_Human_Psychophysics..pdf
